,Nombre d'aturats registrats (5)_barrio,Nombre d'aturats registrats (5)_districte,num_barrio,Renda familiar disponible per habitant (2017)_barrio,Renda familiar disponible per habitant (2017)_districte,65 i mes_barrio,65 i mes_districte,SuperfÃ­cie (km2)_barrio,SuperfÃ­cie (km2)_districte,Densitat (hab/km2)_barrio,Densitat (hab/km2)_districte,Taxa natalitat / 1.000 hab._barrio,Taxa natalitat / 1.000 hab._districte,PoblaciÃ³ de mÃ©s de 65 anys que viu sola (%) (2)_barrio,PoblaciÃ³ de mÃ©s de 65 anys que viu sola (%) (2)_districte,Ãndex de sobreenvelliment  (3)_barrio,Ãndex de sobreenvelliment  (3)_districte
0,758,9.297,46,"51,9","55,0","20,0","22,3","0,4","8,1",45.930,21.614,"10,1","7,9","31,8","25,7","67,6","56,5"
0,857,857,48,"53,8","53,8","28,2","28,2","0,6","0,6",25.198,25.198,"6,8","6,8","24,5","24,5","57,3","57,3"
0,418,418,49,"52,2","52,2","28,9","28,9","0,8","0,8",8.694,8.694,"5,2","5,2","21,3","21,3","45,8","45,8"
0,906,906,50,"49,7","49,7","17,5","17,5","0,6","0,6",25.531,25.531,"9,0","9,0","23,4","23,4","50,4","50,4"
0,695,695,51,"51,3","51,3","20,9","20,9","0,2","0,2",53.973,53.973,"7,7","7,7","28,2","28,2","58,0","58,0"
0,1.347,1.347,52,"56,0","56,0","24,6","24,6","0,6","0,6",45.673,45.673,"7,1","7,1","25,6","25,6","58,0","58,0"
0,620,620,53,"48,2","48,2","17,3","17,3","0,6","0,6",13.298,13.298,"8,2","8,2","31,4","31,4","52,9","52,9"
0,172,172,54,"46,5","46,5","13,3","13,3","1,7","1,7",1.679,1.679,"10,0","10,0","21,3","21,3","44,9","44,9"
0,896,896,55,"38,6","38,6","16,7","16,7","0,4","0,4",29.444,29.444,"13,4","13,4","22,3","22,3","53,4","53,4"
0,104,104,56,"40,9","40,9","17,7","17,7","0,6","0,6",2.336,2.336,"8,5","8,5","13,9","13,9","59,4","59,4"
0,831,831,57,"47,1","47,1","15,0","15,0","0,8","0,8",12.986,12.986,"11,3","11,3","22,4","22,4","49,0","49,0"
0,114,114,58,"68,9","68,9","16,0","16,0","0,2","0,2",11.418,11.418,"8,5","8,5","28,0","28,0","52,3","52,3"
0,647,647,59,"65,1","65,1","16,3","16,3","1,9","1,9",7.321,7.321,"8,3","8,3","22,7","22,7","52,7","52,7"
0,2.620,2.620,60,"77,7","77,7","22,3","22,3","1,9","1,9",31.331,31.331,"6,9","6,9","23,1","23,1","47,4","47,4"
0,1.170,1.170,61,"77,1","77,1","24,4","24,4","1,0","1,0",29.931,29.931,"7,6","7,6","22,3","22,3","47,7","47,7"
0,570,570,62,"75,1","75,1","21,5","21,5","0,4","0,4",35.986,35.986,"8,0","8,0","28,8","28,8","60,3","60,3"
0,877,877,63,"81,6","81,6","23,7","23,7","0,4","0,4",52.986,52.986,"8,3","8,3","26,2","26,2","53,3","53,3"
0,1.710,1.710,64,"81,7","81,7","23,0","23,0","0,7","0,7",53.011,53.011,"6,3","6,3","26,1","26,1","50,6","50,6"
0,1.169,1.169,65,"83,6","83,6","20,6","20,6","0,7","0,7",38.848,38.848,"6,7","6,7","23,1","23,1","46,8","46,8"
0,572,572,66,"100,4","100,4","20,0","20,0","1,1","1,1",14.212,14.212,"8,0","8,0","26,1","26,1","48,4","48,4"
0,1.392,10.862,70,"60,4","88,1","16,4","20,4","1,2","10,4",21.513,23.270,"9,6","7,7","26,4","24,3","54,8","51,8"
0,927,10.862,71,"102,3","88,1","18,0","20,4","1,1","10,4",19.823,23.270,"9,0","7,7","22,8","24,3","49,9","51,8"
0,1.290,10.862,72,"67,4","88,1","25,4","20,4","0,7","10,4",35.652,23.270,"7,1","7,7","24,9","24,3","57,6","51,8"
0,1.461,10.862,73,"57,0","88,1","26,4","20,4","1,1","10,4",25.619,23.270,"6,1","7,7","21,8","24,3","55,1","51,8"
